"id"	"dtxsid"	"preferred_name"	"casrn"	"mol_formula"	"mol_weight"	"pubchem_cid"
1386	"DTXSID1033876"	"Phenethyl bromide"	"103-63-9"	"C8H9Br"	185.064	7666
1387	"DTXSID1034181"	"Raloxifene hydrochloride"	"82640-04-8"	"C28H28ClNO4S"	510.05	54900
1388	"DTXSID1034187"	"Tamoxifen"	"10540-29-1"	"C26H29NO"	371.524	2733526
1389	"DTXSID1034210"	"Prodiamine"	"29091-21-2"	"C13H17F3N4O4"	350.298	34469
1390	"DTXSID1034212"	"Spiroxamine"	"118134-30-8"	"C18H35NO2"	297.483	86160
1391	"DTXSID1034214"	"1-Hydroxyvitamin D2"	"54573-75-0"	"C28H44O2"	412.658	5281107
1392	"DTXSID1034260"	"Oxytetracycline"	"79-57-2"	"C22H24N2O9"	460.439	54675779
1393	"DTXSID1034266"	"Aviglycine hydrochloride"	"55720-26-8"	"C6H13ClN2O3"	196.63	16211101
1394	"DTXSID1034501"	"gamma-Cyhalothrin"	"76703-62-3"	"C23H19ClF3NO3"	449.85	6440554
1395	"DTXSID1034503"	"Cyhalofop-butyl"	"122008-85-9"	"C20H20FNO4"	357.381	180089
1396	"DTXSID1034634"	"Forchlorfenuron"	"68157-60-8"	"C12H10ClN3O"	247.68	93379
1397	"DTXSID1034769"	"N-Vanillylnonanamide"	"2444-46-4"	"C17H27NO3"	293.407	2998
1398	"DTXSID1034844"	"Procyazine"	"32889-48-8"	"C10H13ClN6"	252.71	36274
1399	"DTXSID1034925"	"Potassium 2,4-hexadienoate"	"590-00-1"	"C6H7KO2"	150.218	
1400	"DTXSID1034929"	"Spiromesifen"	"283594-90-1"	"C23H30O4"	370.489	9907412
1401	"DTXSID1034973"	"Tralkoxydim"	"87820-88-0"	"C20H27NO3"	329.44	91746
1402	"DTXSID1035286"	"(E)-11-Tetradecen-1-ol acetate"	"33189-72-9"	"C16H30O2"	254.414	5367650
1403	"DTXSID1035288"	"8,10-Dodecadien-1-ol"	"33956-49-9"	"C12H22O"	182.307	1787910
1404	"DTXSID1035783"	"S-Methoprene"	"65733-16-6"	"C19H34O3"	310.478	1711973
1405	"DTXSID1036541"	"Pregnenolone"	"145-13-1"	"C21H32O2"	316.485	8955
1406	"DTXSID1036545"	"Triphenylsilanol"	"791-31-1"	"C18H16OSi"	276.41	69925
1407	"DTXSID1037197"	"Captopril"	"62571-86-2"	"C9H15NO3S"	217.28	44093
1408	"DTXSID1037224"	"Erythromycin estolate"	"3521-62-8"	"C52H97NO18S"	1056.4	441371
1409	"DTXSID1037272"	"Tacrine"	"321-64-2"	"C13H14N2"	198.269	1935
1410	"DTXSID1037303"	"Perfluoroheptanoic acid"	"375-85-9"	"C7HF13O2"	364.062	67818
1411	"DTXSID1037511"	"Chlormephos"	"24934-91-6"	"C5H12ClO2PS2"	234.69	32739
1412	"DTXSID1037515"	"Crufomate"	"299-86-5"	"C12H19ClNO3P"	291.71	9300
1413	"DTXSID1037565"	"Mepronil"	"55814-41-0"	"C17H19NO2"	269.344	41632
1414	"DTXSID1037567"	"Metolachlor ESA"	"171118-09-5"	"C15H23NO5S"	329.41	6426849
1415	"DTXSID1037696"	"N'-(2,4-Dimethylphenyl)-N-methylformamidine"	"33089-74-6"	"C10H14N2"	162.236	36326
1416	"DTXSID1037806"	"6-Chloro-1,3,5-triazine-2,4-diamine"	"3397-62-4"	"C3H4ClN5"	145.55	18831
1417	"DTXSID1038298"	"1-Hydroxypyrene"	"5315-79-7"	"C16H10O"	218.255	21387
1418	"DTXSID1038321"	"3-Phenoxybenzoic acid"	"3739-38-6"	"C13H10O3"	214.22	19539
1419	"DTXSID1038666"	"Chlorpyrifos oxon"	"5598-15-2"	"C9H11Cl3NO4P"	334.51	21804
1420	"DTXSID1038743"	"5-Methyl-1H-benzotriazole"	"136-85-6"	"C7H7N3"	133.154	8705
1421	"DTXSID1038795"	"1,1,1,3,5,5,5-Heptamethyltrisiloxane"	"1873-88-7"	"C7H22O2Si3"	222.506	6327366
1422	"DTXSID1038799"	"2-Amino-5-(diethylamino)toluene monohydrochloride"	"2051-79-8"	"C11H19ClN2"	214.74	
1423	"DTXSID1038822"	"Neopentyl glycol dibenzoate"	"4196-89-8"	"C19H20O4"	312.365	20169
1424	"DTXSID1038824"	"1,4-Dioxane-2,3-diol"	"4845-50-5"	"C4H8O4"	120.104	96170
1425	"DTXSID1038876"	"Phenyl 1-hydroxy-2-naphthoate"	"132-54-7"	"C17H12O3"	264.28	67236
1426	"DTXSID1038878"	"Resorcinol monobenzoate"	"136-36-7"	"C13H10O3"	214.22	
1427	"DTXSID1039719"	"Calcium nitrate"	"10124-37-5"	"CaN2O6"	164.086	24963
1428	"DTXSID1040110"	"Ethyl propionate"	"105-37-3"	"C5H10O2"	102.133	7749
1429	"DTXSID1040112"	"Ethyl heptanoate"	"106-30-9"	"C9H18O2"	158.241	7797
1430	"DTXSID1040114"	"tert-Butylacrylamide"	"107-58-4"	"C7H13NO"	127.187	7877
1431	"DTXSID1040164"	"3-Oxobutanamide"	"5977-14-0"	"C4H7NO2"	101.105	80077
1432	"DTXSID1040243"	"Sertraline hydrochloride"	"79559-97-0"	"C17H18Cl3N"	342.69	63009
1433	"DTXSID1040245"	"Sucralose"	"56038-13-2"	"C12H19Cl3O8"	397.63	71485
1434	"DTXSID1040295"	"Propamocarb"	"24579-73-5"	"C9H20N2O2"	188.271	32490
1435	"DTXSID1040320"	"Bifenox"	"42576-02-3"	"C14H9Cl2NO5"	342.13	39230
1436	"DTXSID1040324"	"m-Cumenyl methylcarbamate"	"64-00-6"	"C11H15NO2"	193.246	6143
1437	"DTXSID1040326"	"8-Hydroxyquinoline citrate"	"134-30-5"	"C15H15NO8"	337.284	61080
1438	"DTXSID1040372"	"Epoxiconazole"	"133855-98-8"	"C17H13ClFN3O"	329.76	3317081
1439	"DTXSID1040451"	"Creatine"	"57-00-1"	"C4H9N3O2"	131.135	
1440	"DTXSID1040459"	"Bucladesine"	"362-74-3"	"C18H24N5O8P"	469.391	9687
1441	"DTXSID1040611"	"Silwet L 77"	"27306-78-1"			60196421
1442	"DTXSID1040617"	"Sulmazole"	"73384-60-8"	"C14H13N3O2S"	287.34	5353
1443	"DTXSID1040619"	"Bexarotene"	"153559-49-0"	"C24H28O2"	348.486	82146
1444	"DTXSID1040661"	"Clofibric acid"	"882-09-7"	"C10H11ClO3"	214.65	2797
1445	"DTXSID1040667"	"Diisopropyl fluorophosphate"	"55-91-4"	"C6H14FO3P"	184.147	5936
1446	"DTXSID1040740"	"-Methyl-2H-isothiazol-3-one hydrochloride"	"26172-54-3"	"C4H6ClNOS"	151.61	117746
1447	"DTXSID1040742"	"Triamcinolone"	"124-94-7"	"C21H27FO6"	394.439	31307
1448	"DTXSID1040790"	"16-Methylheptadecanoic acid"	"2724-58-5"	"C18H36O2"	284.484	
1449	"DTXSID1040792"	"Pyridoxine hydrochloride"	"58-56-0"	"C8H12ClNO3"	205.64	6019
1450	"DTXSID1040794"	"Sodium 2-phenylphenate tetrahydrate"	"6152-33-6"	"C12H17NaO5"	264.253	517383
1451	"DTXSID1041132"	"SU-5416"	"204005-46-9"	"C15H14N2O"	238.29	123015
1452	"DTXSID1041180"	"1-Ethyl-3-methylimidazolium chloride"	"65039-09-0"	"C6H11ClN2"	146.62	2734160
1453	"DTXSID1041184"	"(-)-beta-Pinene"	"18172-67-3"	"C10H16"	136.238	440967
1454	"DTXSID1041188"	"(2-Nitro-1-propenyl)benzene"	"705-60-2"	"C9H9NO2"	163.176	1549520
1455	"DTXSID1041217"	"1,1,1-Trichloro-2-methyl-2-propanol"	"57-15-8"	"C4H7Cl3O"	177.45	5977
1456	"DTXSID1041261"	"Allyl 3-chloro-2-hydroxypropyl ether"	"4638-03-3"	"C6H11ClO2"	150.6	95402
1457	"DTXSID1041263"	"1-Chloro-2-methyl-3-nitrobenzene"	"83-42-1"	"C7H6ClNO2"	171.58	6740
1458	"DTXSID1041265"	"2-Hexyl-1-decanol"	"2425-77-6"	"C16H34O"	242.447	95337
1459	"DTXSID1041267"	"1-Ethoxy-2-propanol"	"1569-02-4"	"C5H12O2"	104.149	15287
1460	"DTXSID1041269"	"(+)-Cedrol"	"77-53-2"	"C15H26O"	222.372	65575
1461	"DTXSID1041346"	"2,4-D-ethyl ester"	"533-23-3"	"C10H10Cl2O3"	249.09	10780
1462	"DTXSID1041396"	"2-Butanethiol"	"513-53-1"	"C4H10S"	90.18	10560
1463	"DTXSID1041421"	"5,7-Dimethoxy-2H-chromen-2-one"	"487-06-9"	"C11H10O4"	206.197	2775
1464	"DTXSID1041423"	"N-Vinylcaprolactam"	"2235-00-9"	"C8H13NO"	139.198	75227
1465	"DTXSID1041425"	"(2E)-2-Hexenal"	"6728-26-3"	"C6H10O"	98.145	5281168
1466	"DTXSID1041479"	"3-Azetidinecarboxylic acid"	"36476-78-5"	"C4H7NO2"	101.105	
1467	"DTXSID1041502"	"3-Methyl-4,6-di-tert-butylphenol"	"497-39-2"	"C15H24O"	220.356	10346
1468	"DTXSID1041506"	"4-Chloro-2-cyclopentylphenol"	"13347-42-7"	"C11H13ClO"	196.67	61594
1469	"DTXSID1041508"	"4-Chloro-2-methylaniline"	"95-69-2"	"C7H8ClN"	141.6	7251
1470	"DTXSID1041550"	"(S)-(-)-beta-Citronellol"	"7540-51-4"	"C10H20O"	156.269	7793
1471	"DTXSID1041639"	"Sodium m-xylene-4-sulfonate"	"827-21-4"	"C8H9NaO3S"	208.21	23677979
1472	"DTXSID1041681"	"Bromofenoxim"	"13181-17-4"	"C13H7Br2N3O6"	461.022	5360414
1473	"DTXSID1041683"	"Bromofos"	"2104-96-3"	"C8H8BrCl2O3PS"	365.99	16422
1474	"DTXSID1041689"	"Buquinolate"	"5486-03-3"	"C20H27NO5"	361.438	21651
1475	"DTXSID1041712"	"C.I. Acid Red 73, disodium salt"	"5413-75-2"	"C22H14N4Na2O7S2"	556.47	
1476	"DTXSID1041714"	"C.I. Acid Red 88, monosodium salt"	"1658-56-6"	"C20H13N2NaO4S"	400.38	
1477	"DTXSID1041718"	"Flavianic acid sodium salt"	"846-70-8"	"C10H4N2Na2O8S"	358.19	
1478	"DTXSID1041847"	"Dibutyl decanedioate"	"109-43-3"	"C18H34O4"	314.466	7986
1479	"DTXSID1041891"	"Diphenylmethane"	"101-81-5"	"C13H12"	168.239	7580
1480	"DTXSID1041897"	"Dipyrithione"	"3696-28-4"	"C10H8N2O2S2"	252.31	3109
1481	"DTXSID1041920"	"2-(2-Ethylhexyloxy)ethanol"	"1559-35-9"	"C10H22O2"	174.284	15260
1482	"DTXSID1041970"	"Fenchol"	"1632-73-1"	"C10H18O"	154.253	15406
1483	"DTXSID1041978"	"Flufenoxuron"	"101463-69-8"	"C21H11ClF6N2O3"	488.77	91766
1484	"DTXSID1042077"	"Isoproturon"	"34123-59-6"	"C12H18N2O"	206.289	36679
1485	"DTXSID1042154"	"Methyl red"	"493-52-7"	"C15H15N3O2"	269.304	10303
1486	"DTXSID1042281"	"Phenylpyruvic acid"	"156-06-9"	"C9H8O3"	164.16	997
1487	"DTXSID1042285"	"Phosfolan"	"947-02-4"	"C7H14NO3PS2"	255.29	13689
1488	"DTXSID1042360"	"N-(4-Nitrophenyl)-N'-(3-pyridinylmethyl)urea"	"53558-25-1"	"C13H12N4O3"	272.264	40813
1489	"DTXSID1042364"	"Quinmerac"	"90717-03-6"	"C11H8ClNO2"	221.64	91749
1490	"DTXSID1042441"	"Terbucarb"	"1918-11-2"	"C17H27NO2"	277.408	15967
1491	"DTXSID1042443"	"Terbufos sulfone"	"56070-16-7"	"C9H21O4PS3"	320.42	41718
1492	"DTXSID1042445"	"Terbumeton"	"33693-04-8"	"C10H19N5O"	225.296	36584
1493	"DTXSID1042491"	"Triethoxypentylsilane"	"2761-24-2"	"C11H26O3Si"	234.411	17695
1494	"DTXSID1042499"	"Triphenylbismuthine dichloride"	"594-30-9"	"C18H15BiCl2"	511.2	299728
1495	"DTXSID1042570"	"Vanoxerine hydrochloride"	"67469-78-7"	"C28H34Cl2F2N2O"	523.49	104920
1496	"DTXSID1042574"	"Sulpiride"	"15676-16-1"	"C15H23N3O4S"	341.43	5355
1497	"DTXSID1043839"	"Pirmenol"	"68252-19-7"	"C22H30N2O"	338.495	65502
1498	"DTXSID1043881"	"Imipramine"	"50-49-7"	"C19H24N2"	280.415	3696
1499	"DTXSID1043910"	"beta-(3,4-Epoxycyclohexyl)ethyltrimethoxysilane"	"3388-04-3"	"C11H22O4Si"	246.378	18819
1500	"DTXSID1044196"	"Desloratadine"	"100643-71-8"	"C19H19ClN2"	310.83	124087
1501	"DTXSID1044198"	"Perindopril erbumine"	"107133-36-8"	"C23H43N3O5"	441.613	441313
1502	"DTXSID1044221"	"Indinavir sulfate"	"157810-81-6"	"C36H49N5O8S"	711.88	5462355
1503	"DTXSID1044223"	"Ezetimibe"	"163222-33-1"	"C24H21F2NO3"	409.433	150311
1504	"DTXSID1044227"	"Pramipexole dihydrochloride monohydrate"	"191217-81-9"	"C10H21Cl2N3OS"	302.26	166589
1505	"DTXSID1044304"	"DL-Glutamine"	"6899-04-3"	"C5H10N2O3"	146.146	
1506	"DTXSID1044352"	"Methyl phenylacetate"	"101-41-7"	"C9H10O2"	150.177	7559
1507	"DTXSID1044354"	"N-Butyldiethanolamine"	"102-79-4"	"C8H19NO2"	161.245	7620
1508	"DTXSID1044356"	"N-Benzylethanolamine"	"104-63-2"	"C9H13NO"	151.209	4348
1509	"DTXSID1044431"	"2-(tert-Butylamino)ethanol"	"4620-70-6"	"C6H15NO"	117.192	78361
1510	"DTXSID1044433"	"1,3-Cyclohexanedione"	"504-02-9"	"C6H8O2"	112.128	10434
1511	"DTXSID1044435"	"Procaine hydrochloride"	"51-05-8"	"C13H21ClN2O2"	272.77	5795
1512	"DTXSID1044437"	"3,5-Diaminobenzoic acid"	"535-87-5"	"C7H8N2O2"	152.153	12062
1513	"DTXSID1044439"	"Butyl cyanoacetate"	"5459-58-5"	"C7H11NO2"	141.17	79571
1514	"DTXSID1044481"	"1,1'-Disulfanediyldiazepan-2-one"	"23847-08-7"	"C12H20N2O2S2"	288.42	90282
1515	"DTXSID1044485"	"4-Ethoxy-4-oxobut-2-enoic acid"	"3249-53-4"	"C6H8O4"	144.126	41331
1516	"DTXSID1044487"	"Methyltrioctylammonium chloride"	"5137-55-3"	"C25H54ClN"	404.16	21218
1517	"DTXSID1044489"	"2-Chloro-N,N-dimethyl-3-oxobutanamide"	"5810-11-7"	"C6H10ClNO2"	163.6	93011
1518	"DTXSID1044510"	"N,N-Bis(3-aminopropyl)methylamine"	"105-83-9"	"C7H19N3"	145.25	
1519	"DTXSID1044512"	"2,5-Bis(tert-butylperoxy)-2,5-dimethyl-3-hexyne"	"1068-27-5"	"C16H30O4"	286.412	
1520	"DTXSID1044514"	"Hexylparaben"	"1083-27-8"	"C13H18O3"	222.284	14127
1521	"DTXSID1044518"	"(-)-Isolongifolene"	"1135-66-6"	"C15H24"	204.357	11127402
1522	"DTXSID1044560"	"5-Bromo-5-nitro-1,3-dioxane"	"30007-47-7"	"C4H6BrNO4"	211.999	1807
1523	"DTXSID1044562"	"D&C Red No. 33"	"3567-66-6"	"C16H11N3Na2O7S2"	467.38	
1524	"DTXSID1044564"	"2,6,10-Trimethyl-2,6,10-triazaundecane"	"3855-32-1"	"C11H27N3"	201.358	77463
1525	"DTXSID1044568"	"1,4-Dioxacyclohexadecane-5,16-dione"	"54982-83-1"	"C14H24O4"	256.342	41270
1526	"DTXSID1044643"	"Glycidyl trimethylammonium chloride"	"3033-77-0"	"C6H14ClNO"	151.63	18205
1527	"DTXSID1044645"	"Hydralazine hydrochloride"	"304-20-1"	"C8H9ClN4"	196.64	9351
1528	"DTXSID1044647"	"Pargyline hydrochloride"	"306-07-0"	"C11H14ClN"	195.69	9373
1529	"DTXSID1044691"	"2-(Propan-2-yl)-9H-thioxanthen-9-one"	"5495-84-1"	"C16H14OS"	254.35	79633
1530	"DTXSID1044693"	"Magnesium dibenzoate"	"553-70-8"	"C14H10MgO4"	266.535	62371
1531	"DTXSID1044697"	"4-Ethyloct-1-yn-3-ol"	"5877-42-9"	"C10H18O"	154.253	93012
1532	"DTXSID1044699"	"Diethyl hydrogen phosphate"	"598-02-7"	"C4H11O4P"	154.102	
1533	"DTXSID1044720"	"4-Methylpyridin-2-amine"	"695-34-1"	"C6H8N2"	108.144	1533
1534	"DTXSID1044722"	"Potassium 4-acetoacetylaminobenzenesulphonate"	"70321-85-6"	"C10H10KNO5S"	295.35	23674215
1535	"DTXSID1044724"	"Aluminum triformate"	"7360-53-4"	"C3H3AlO6"	162.033	16700308
1536	"DTXSID1044726"	"Disodium hexanedioate"	"7486-38-6"	"C6H8Na2O4"	190.106	
1537	"DTXSID1044728"	"3-[(3-Sulfanylpropanoyl)oxy]-2,2-bis{[(3-sulfanylpropanoyl)oxy]methyl}propyl 3-sulfanylpropanoate"	"7575-23-7"	"C17H28O8S4"	488.64	82056
1538	"DTXSID1044770"	"4-Methoxybenzyl acetate"	"104-21-2"	"C10H12O3"	180.203	7695
1539	"DTXSID1044772"	"Citronellyl formate"	"105-85-1"	"C11H20O2"	184.279	7778
1540	"DTXSID1044774"	"1,4-Dioxacycloheptadecane-5,17-dione"	"105-95-3"	"C15H26O4"	270.369	61014
1541	"DTXSID1044776"	"2-Cyanoethyl prop-2-enoate"	"106-71-8"	"C6H7NO2"	125.127	7825
1542	"DTXSID1044801"	"SEX"	"140-90-9"	"C3H5NaOS2"	144.18	23690437
1543	"DTXSID1044805"	"2,2'-[Cyclohexane-1,4-diylbis(methanediyloxymethanediyl)]dioxirane"	"14228-73-0"	"C14H24O4"	256.342	61718
1544	"DTXSID1044807"	"Dimethyl nonanedioate"	"1732-10-1"	"C11H20O4"	216.277	15612
1545	"DTXSID1044809"	"3,7-Dimethyloct-6-en-3-ol"	"18479-51-1"	"C10H20O"	156.269	86749
1546	"DTXSID1044851"	"2-Hydroxy-3-phenoxypropyl prop-2-enoate"	"16969-10-1"	"C12H14O4"	222.24	4443516
1547	"DTXSID1044853"	"Trisodium 2,4,6-trithioxo-1,3,5-triazinane-1,3,5-triide"	"17766-26-6"	"C3N3Na3S3"	243.2	6099917
1548	"DTXSID1044857"	"Triethoxy(2-methylpropyl)silane"	"17980-47-1"	"C10H24O3Si"	220.384	87391
1549	"DTXSID1044859"	"5,5'-Oxybis(2-benzofuran-1,3-dione)"	"1823-59-2"	"C16H6O7"	310.217	74574
1550	"DTXSID1044930"	"2-(Trifluoromethoxy)benzenesulfonamide"	"37526-59-3"	"C7H6F3NO3S"	241.18	2777208
1551	"DTXSID1044932"	"4-Isopropylbenzenesulfonic acid"	"16066-35-6"	"C9H12O3S"	200.25	6640
1552	"DTXSID1044934"	"4,5-Dihydroxy-1,3-dimethylimidazolidin-2-one"	"3923-79-3"	"C5H10N2O3"	146.146	73539
1553	"DTXSID1044936"	"(2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethane-2,1-diyl trisprop-2-enoate"	"40220-08-4"	"C18H21N3O9"	423.378	170286
1554	"DTXSID1044938"	"Ethenylsilanetriyl triacetate"	"4130-08-9"	"C8H12O6Si"	232.263	77780
1555	"DTXSID1044980"	"3-{[3-(Dimethylamino)propyl]amino}propanenitrile"	"69852-45-5"	"C8H17N3"	155.245	112322
1556	"DTXSID1044982"	"2-Amino-N-cyclohexyl-N-methylbenzenesulfonamide"	"70693-59-3"	"C13H20N2O2S"	268.38	116814
1557	"DTXSID1044986"	"3,6,9,12-Tetraoxatetradeca-1,13-diene"	"765-12-8"	"C10H18O4"	202.25	3033992
1558	"DTXSID1045033"	"Minocycline"	"10118-90-8"	"C23H27N3O7"	457.483	54675783
1559	"DTXSID1045035"	"2-Methylbenzenesulfonic acid"	"88-20-0"	"C7H8O3S"	172.2	
1560	"DTXSID1045081"	"8-Quinolinol salicylic acid (1:1)"	"2439-07-8"	"C16H13NO4"	283.283	142766
1561	"DTXSID1045083"	"Aminoquinuride dihydrochloride"	"5424-37-3"	"C21H22Cl2N6O"	445.35	79472
1562	"DTXSID1045085"	"Trifluoperazine dihydrochloride"	"440-17-5"	"C21H26Cl2F3N3S"	480.42	66064
1563	"DTXSID1045089"	"Carzenide"	"138-41-0"	"C7H7NO4S"	201.2	8739
1564	"DTXSID1045110"	"Etymemazine hydrochloride"	"3737-33-5"	"C20H27ClN2S"	362.96	71822
1565	"DTXSID1045112"	"Tramazoline tosylate"	"102280-49-9"	"C20H25N3O3S"	387.5	298391
1566	"DTXSID1045114"	"Benzylhydrochlorothiazide"	"1824-50-6"	"C14H14ClN3O4S2"	387.85	2348
1567	"DTXSID1045116"	"Domperidone"	"57808-66-9"	"C22H24ClN5O2"	425.92	3151
1568	"DTXSID1045118"	"Oxaprozin"	"21256-18-8"	"C18H15NO3"	293.322	4614
1569	"DTXSID1045160"	"Imazodan"	"84243-58-3"	"C13H12N4O"	240.266	55918
1570	"DTXSID1045162"	"Imiloxan"	"81167-16-0"	"C14H16N2O2"	244.294	133621
1571	"DTXSID1045164"	"Loxoprofen"	"68767-14-6"	"C15H18O3"	246.306	3965
1572	"DTXSID1045166"	"Lidocaine"	"137-58-6"	"C14H22N2O"	234.343	3676
1573	"DTXSID1045168"	"Metrifudil"	"23707-33-7"	"C18H21N5O4"	371.397	65710
1574	"DTXSID1045245"	"Zoxazolamine"	"61-80-3"	"C7H5ClN2O"	168.58	6103
1575	"DTXSID1045291"	"Oxyphenbutazone"	"129-20-4"	"C19H20N2O3"	324.38	4641
1576	"DTXSID1045293"	"Benzydamine hydrochloride"	"132-69-4"	"C19H24ClN3O"	345.87	65464
1577	"DTXSID1045297"	"Hexetidine"	"141-94-6"	"C21H45N3"	339.612	3607
1578	"DTXSID1045320"	"Amylocaine hydrochloride"	"532-59-2"	"C14H22ClNO2"	271.79	10766
1579	"DTXSID1045322"	"Etilefrine hydrochloride"	"534-87-2"	"C10H16ClNO2"	217.69	164652
1580	"DTXSID1045324"	"Diperodon hydrochloride"	"537-12-2"	"C22H28ClN3O4"	433.93	10830
1581	"DTXSID1045326"	"Thonzonium bromide"	"553-08-2"	"C32H55BrN4O"	591.723	11102
1582	"DTXSID1045328"	"Isoxsuprine hydrochloride"	"579-56-6"	"C18H24ClNO3"	337.84	11368
1583	"DTXSID1045370"	"Methyldopate hydrochloride"	"2508-79-4"	"C12H18ClNO4"	275.73	17276
1584	"DTXSID1045372"	"Mebeverine hydrochloride"	"2753-45-9"	"C25H36ClNO5"	466.02	17683
1585	"DTXSID1045376"	"Moroxidine hydrochloride"	"3160-91-6"	"C6H14ClN5O"	207.66	76621
1586	"DTXSID1045405"	"Doxycycline hydrochloride"	"10592-13-9"	"C22H25ClN2O8"	480.9	54685920
1587	"DTXSID1045407"	"Trimetazidine dihydrochloride"	"13171-25-0"	"C14H24Cl2N2O3"	339.26	83201
1588	"DTXSID1045409"	"Tolfenamic acid"	"13710-19-5"	"C14H12ClNO2"	261.71	610479
1589	"DTXSID1045453"	"Pivmecillinam hydrochloride"	"32887-03-9"	"C21H34ClN3O5S"	476.03	115162
1590	"DTXSID1045459"	"Pivampicillin"	"33817-20-8"	"C22H29N3O6S"	463.55	33478
1591	"DTXSID1045530"	"Dorzolamide hydrochloride"	"130693-82-2"	"C10H17ClN2O4S3"	360.89	6918132
1592	"DTXSID1045534"	"Flunisolide"	"3385-03-3"	"C24H31FO6"	434.504	82153
1593	"DTXSID1045536"	"Disopyramide"	"3737-09-5"	"C21H29N3O"	339.483	3114
1594	"DTXSID1045538"	"Cefotiam hydrochloride"	"66309-69-1"	"C18H24ClN9O4S3"	562.08	20848883
1595	"DTXSID1045580"	"Metaraminol bitartrate"	"33402-03-8"	"C13H19NO8"	317.294	60196269
1596	"DTXSID1045582"	"Dinoprost tromethamine"	"38562-01-5"	"C24H45NO8"	475.623	6420020
1597	"DTXSID1045584"	"Flunixin meglumine"	"42461-84-7"	"C21H28F3N3O7"	491.464	60196270
1598	"DTXSID1045586"	"Thiethylperazine malate"	"52239-63-1"	"C30H41N3O10S2"	667.79	11954258
1599	"DTXSID1045588"	"Betahistine mesylate"	"54856-23-4"	"C9H16N2O3S"	232.3	6420033
1600	"DTXSID1045611"	"(1S,9R)-beta-Hydrastine"	"29617-43-4"	"C21H21NO6"	383.4	656743
1601	"DTXSID1045615"	"Fasudil hydrochloride"	"105628-07-7"	"C14H18ClN3O2S"	327.83	163751
1602	"DTXSID1045619"	"Enrofloxacin"	"93106-60-6"	"C19H22FN3O3"	359.401	71188
1603	"DTXSID1045661"	"Tesmilifene"	"98774-23-3"	"C19H25NO"	283.415	108092
1604	"DTXSID1045663"	"Bifemelane"	"90293-01-9"	"C18H23NO"	269.388	2377
1605	"DTXSID1045665"	"Ponalrestat"	"72702-95-5"	"C17H12BrFN2O3"	391.196	5278
1606	"DTXSID1045669"	"(Z)-N-[(4-Hydroxy-3-methoxyphenyl)methyl]octadec-9-enamide"	"58493-49-5"	"C26H43NO3"	417.634	5311093
1607	"DTXSID1045740"	"Midafotel"	"117414-74-1"	"C8H15N2O5P"	250.191	6435801
1608	"DTXSID1045742"	"Cinalukast"	"128312-51-6"	"C23H28N2O3S"	412.55	6436135
1609	"DTXSID1045744"	"Eliprodil"	"119431-25-3"	"C20H23ClFNO"	347.86	60703
1610	"DTXSID1045746"	"Relcovaptan"	"150375-75-0"	"C28H27Cl2N3O7S"	620.5	60196272
1611	"DTXSID1045748"	"Acecainide hydrochloride"	"34118-92-8"	"C15H24ClN3O2"	313.83	71417
1612	"DTXSID1045790"	"8-Ammonio-1,2,3,4-tetrahydro-2-methyl-4-phenylisoquinolinium maleate"	"32795-47-4"	"C20H22N2O4"	354.406	5358907
1613	"DTXSID1045792"	"Proadifen hydrochloride"	"62-68-0"	"C23H32ClNO2"	389.96	65341
1614	"DTXSID1045794"	"Bisoprolol fumarate"	"104344-23-2"	"C40H66N2O12"	766.97	5281064
1615	"DTXSID1045796"	"R(+)-3-PPP hydrochloride"	"89874-80-6"	"C14H22ClNO"	255.79	11957669
1616	"DTXSID1045798"	"Salmeterol xinafoate"	"94749-08-3"	"C36H45NO7"	603.756	56801
1617	"DTXSID1045825"	"Ephedrine hydrochloride"	"50-98-6"	"C10H16ClNO"	201.69	65326
1618	"DTXSID1045871"	"Carprofen"	"53716-49-7"	"C15H12ClNO2"	273.72	2581
1619	"DTXSID1045873"	"Fosfomycin calcium"	"26016-98-8"	"C3H5CaO4P"	176.121	93095
1620	"DTXSID1045877"	"4-Amino-3-hydroxybutyric acid"	"924-49-2"	"C4H9NO3"	119.12	2149
1621	"DTXSID1045879"	"Acexamic acid"	"57-08-9"	"C8H15NO3"	173.212	2005
1622	"DTXSID1045900"	"Mepartricin"	"11121-32-7"			9941647
1623	"DTXSID1045902"	"Salinomycin sodium"	"55721-31-8"	"C42H69NaO11"	772.993	23703990
1624	"DTXSID1045904"	"Naproxol"	"26159-36-4"	"C14H16O2"	216.28	3032818
1625	"DTXSID1045906"	"Ramifenazone"	"3615-24-5"	"C14H19N3O"	245.326	5037
1626	"DTXSID1045950"	"Pregabalin"	"148553-50-8"	"C8H17NO2"	159.229	5486971
1627	"DTXSID1045952"	"Topotecan hydrochloride"	"119413-54-6"	"C23H24ClN3O5"	457.91	60699
1628	"DTXSID1045954"	"Oseltamivir tartrate"	"NOCAS_45954"	"C20H34N2O10"	462.496	16667738
1629	"DTXSID1045956"	"Chlorophyllide Cu complex sodium salt"	"11006-34-1"	"C34H31CuN4Na3O6"	724.159	23725082
1630	"DTXSID1045958"	"Tilorone"	"27591-97-5"	"C25H34N2O3"	410.558	5475
